index parent1 parent2
12331102 12322892 12328071
12331103 12324971 12325130
12331104 12323509 12324707
12331105 12321448 12327327
12331106 12326420 12328147
12331107 12325250 12325043
12331108 12328051 12329172
12331109 12327047 12326402
12331110 12328273 12323307
12331111 12325379 12321267
12331112 12322711 12320952
12331113 12328612 12324101
12331114 12328503 12320408
12331115 12325371 12323296
12331116 12327369 12328950
12331117 12325477 12320735
12331118 12320135 12328069
12331119 12327674 12328082
12331120 12321489 12321740
12331121 12323886 12328838
12331122 12320808 12328996
12331123 12321529 12325643
12331124 12329812 12324779
12331125 12329447 12328859
12331126 12323465 12325539
12331127 12321379 12327419
12331128 12322423 12328702
12331129 12321144 12322412
12331130 12328413 12328364
12331131 12321422 12327829
12331132 12322164 12329189
12331133 12322435 12328475
12331134 12328541 12323528
12331135 12322749 12322284
12331136 12327126 12328248
12331137 12326626 12325496
12331138 12324331 12325574
12331139 12327822 12320346
12331140 12320003 12324274
12331141 12329753 12320450
12331142 12324960 12322835
12331143 12326371 12322453
12331144 12326456 12325302
12331145 12323476 12326513
12331146 12327137 12323184
12331147 12328060 12324923
12331148 12320226 12329992
12331149 12326668 12322924
12331150 12329521 12327465
12331151 12322891 12322379
12331152 12320757 12325108
12331153 12323825 12328952
12331154 12324672 12328798
12331155 12325243 12327307
12331156 12322446 12320961
12331157 12320390 12327294
12331158 12324002 12324398
12331159 12326292 12324718
12331160 12329686 12325105
12331161 12327534 12322466
