index geno pheno fit children
12320561 0 -1.17299 0.940746 2
12320562 0 0.92413 1.04576 1
12320563 0 0.330803 1.00575 1
12320564 1 -0.132966 0.992418 3
12320565 1 0.679067 1.02435 5
12320566 2 3.79599 1.19246 3
12320567 2 1.0538 1.06017 3
12320568 1 0.160169 1.00768 2
12320569 1 1.82327 1.10415 1
12320570 1 0.894411 1.02652 4
12320571 2 2.17429 1.11392 3
12320572 0 -1.09887 0.937121 2
12320573 1 0.951268 1.02825 2
12320574 0 0.972697 1.03222 2
12320575 1 1.05663 1.03996 0
12320576 2 3.53684 1.17746 1
12320577 1 0.65165 1.03229 1
12320578 0 -0.651776 0.966683 2
12320579 0 0.378726 1.02168 1
12320580 2 0.0971075 1.01565 2
12320581 0 -0.118225 0.993462 2
12320582 1 -0.0231188 0.986811 2
12320583 1 0.947272 1.03703 1
12320584 2 2.52939 1.13647 4
12320585 0 0.233601 1.0054 0
12320586 1 0.534332 1.03538 2
12320587 1 0.186698 1.00227 3
12320588 0 -0.644652 0.966738 1
12320589 2 3.55466 1.19255 1
12320590 1 1.41368 1.06698 2
12320591 0 0.130125 1.01081 0
12320592 1 1.49635 1.0769 1
12320593 2 1.78783 1.08228 2
12320594 1 2.627 1.12934 1
12320595 1 0.965275 1.02303 4
12320596 1 0.79299 1.0294 1
12320597 1 0.798495 1.05404 0
12320598 0 -0.0304267 0.998911 1
12320599 1 0.806004 1.03411 3
12320600 1 -0.313197 0.976924 3
12320601 1 0.344602 1.02389 3
12320602 1 -0.358172 0.992057 1
12320603 1 0.301512 1.01683 2
12320604 1 2.62085 1.13143 2
12320605 2 0.212119 1.01563 4
12320606 1 0.294338 1.01435 1
12320607 0 -0.449342 0.973784 2
12320608 2 0.563618 1.03069 5
12320609 1 1.60876 1.08573 3
12320610 2 2.66796 1.12419 0
12320611 1 1.28061 1.05372 2
12320612 0 -0.495651 0.976112 4
12320613 1 2.47134 1.14052 3
12320614 1 2.07363 1.10615 1
12320615 1 -2.18974 0.893335 6
12320616 2 0.524617 1.04063 1
12320617 1 3.41958 1.17577 1
12320618 1 0.249316 0.993558 0
12320619 0 -0.630937 0.973035 3
12320620 1 2.10159 1.11415 1
12320621 0 -0.222558 0.978955 3
12320622 1 2.46555 1.11627 1
12320623 1 0.701312 1.0373 1
12320624 0 -0.204986 0.98576 3
12320625 0 -0.762917 0.938204 2
12320626 1 1.22856 1.04455 1
12320627 0 0.812988 1.05 1
12320628 2 1.99962 1.08697 0
12320629 2 1.13366 1.06014 3
12320630 1 -2.03509 0.899889 1
12320631 2 1.27246 1.06641 3
12320632 2 3.48523 1.17628 4
12320633 1 -0.520185 0.96924 2
12320634 1 -0.0364069 1.004 2
12320635 1 0.668767 1.03972 2
12320636 1 3.74496 1.18644 2
12320637 1 0.851724 1.06759 3
12320638 2 2.69935 1.15919 4
12320639 1 0.937467 1.03613 2
12320640 1 2.26984 1.10883 1
12320641 1 2.80485 1.1379 4
12320642 2 3.27113 1.15826 3
12320643 0 -0.62848 0.964442 0
12320644 0 -0.237208 0.996751 2
12320645 0 -0.912368 0.968179 3
12320646 1 1.56733 1.07574 6
12320647 0 -1.52438 0.931068 6
12320648 2 1.4239 1.05993 5
12320649 1 1.75037 1.08148 3
12320650 0 1.70624 1.08252 1
12320651 1 1.70717 1.08586 2
12320652 0 1.81749 1.09438 1
12320653 0 -1.12897 0.929205 0
12320654 1 1.39566 1.07193 0
12320655 2 1.98328 1.10582 3
12320656 1 1.47593 1.0701 1
12320657 1 2.02341 1.09358 4
12320658 0 -0.490611 0.983303 3
12320659 1 -0.149405 0.997579 3
12320660 1 1.55998 1.06654 3
12320661 1 2.77949 1.1393 4
12320662 1 1.54117 1.08068 1
12320663 0 0.942396 1.04565 3
12320664 1 -0.0506315 0.990795 1
12320665 0 -0.522172 0.966748 1
12320666 0 -0.349557 0.977291 3
12320667 1 0.605776 1.03407 0
12320668 1 1.93414 1.08641 2
12320669 0 1.04984 1.05436 1
12320670 1 2.67277 1.12424 3
12320671 1 1.76187 1.07786 2
12320672 1 0.660822 1.02722 3
12320673 1 2.55343 1.12021 2
12320674 2 1.96576 1.09859 2
12320675 1 0.487853 1.02721 2
12320676 2 2.81435 1.14277 1
12320677 2 2.53387 1.1071 1
12320678 1 0.665508 1.02851 2
12320679 0 0.712962 1.03788 1
12320680 0 -1.73941 0.909196 1
12320681 1 0.640588 1.04059 3
12320682 0 -0.578836 0.958818 2
12320683 0 -0.787974 0.962384 4
12320684 2 1.891 1.09427 1
12320685 2 2.32337 1.11777 4
12320686 1 2.23194 1.10485 5
12320687 2 2.80487 1.12144 5
12320688 0 -1.21082 0.941368 1
12320689 1 1.2484 1.06013 2
12320690 2 0.30589 1.00301 1
12320691 1 0.070054 1.013 1
12320692 0 -2.14498 0.887161 2
12320693 0 -1.18063 0.9423 0
12320694 2 2.52654 1.13177 1
12320695 0 -0.725174 0.973606 2
12320696 1 0.730883 1.04021 1
12320697 1 1.66261 1.08275 2
12320698 0 -1.66262 0.912872 2
12320699 0 0.10159 0.99835 3
12320700 0 -1.7877 0.912944 1
12320701 0 -1.30401 0.918395 2
12320702 0 1.01202 1.03999 2
12320703 1 0.635801 1.04039 2
12320704 1 2.3067 1.1159 1
12320705 2 1.49416 1.07365 1
12320706 0 0.970748 1.03493 2
12320707 2 2.30813 1.10827 5
12320708 1 -0.320539 0.973288 5
12320709 0 -0.536449 0.981983 3
12320710 0 -1.06132 0.957001 3
12320711 1 0.36671 1.01185 1
12320712 1 0.326661 1.0278 4
12320713 0 -0.502047 0.977423 7
12320714 1 1.40655 1.07044 1
12320715 1 1.96265 1.10234 3
12320716 0 1.37225 1.06798 1
12320717 0 -0.832121 0.95522 2
12320718 2 2.31057 1.10781 2
12320719 0 1.26413 1.04874 3
12320720 0 1.1193 1.04182 1
12320721 2 3.42308 1.17932 0
12320722 0 0.0292379 1.01004 0
12320723 1 1.99888 1.10497 1
12320724 0 -0.870761 0.960268 2
12320725 1 0.295861 0.998259 2
12320726 1 1.84376 1.0919 3
12320727 0 0.764382 1.05124 2
12320728 0 0.225839 1.0122 1
12320729 0 0.57606 1.02458 1
12320730 1 1.61946 1.0673 1
12320731 1 1.03015 1.05247 0
12320732 1 0.779616 1.0352 1
12320733 2 1.09968 1.05458 5
12320734 1 -0.574926 0.977631 0
12320735 0 -0.629039 0.967029 6
12320736 1 2.39487 1.11748 1
12320737 2 2.46439 1.12277 1
12320738 0 -0.433787 0.985454 2
12320739 1 0.446723 1.02246 2
12320740 0 -2.2051 0.890442 3
12320741 0 0.835606 1.04552 2
12320742 1 0.0785004 1.0022 7
