index geno pheno fit
 526 1 1.89399 1.13601 
 527 0 -1.21772 0.940022 
 528 0 -0.349241 0.984012 
 529 1 -1.05515 0.94768 
 530 1 0.226857 1.01105 
 531 0 -2.08181 0.896599 
 532 1 1.68341 1.07005 
 533 1 1.98504 1.09035 
 534 1 1.68473 1.08453 
 535 1 0.562001 1.03607 
 536 0 -0.57845 0.978415 
 537 1 0.542099 1.02907 
 538 1 1.35364 1.0907 
 539 0 0.541591 1.02022 
 540 1 -1.35804 0.938494 
 541 0 -0.537437 0.974767 
 542 1 0.880048 1.05659 
 543 0 0.600321 1.02574 
 544 0 -1.51053 0.951792 
 545 1 2.12015 1.10148 
 546 0 -1.77616 0.936824 
 547 0 0.530388 1.02613 
 548 1 3.00503 1.1675 
 549 1 -0.835389 0.963442 
 550 1 1.85616 1.08634 
 551 0 0.344458 1.01668 
 552 0 -0.254004 0.987134 
 553 0 -1.26378 0.923576 
 554 0 -1.10252 0.952343 
 555 1 -0.417769 0.979539 
 556 1 0.556399 1.0285 
 557 0 -0.322736 0.982945 
 558 1 -0.204691 0.98725 
 559 1 0.750378 1.04301 
 560 1 1.49159 1.06863 
 561 0 0.735332 1.03954 
 562 1 0.525225 1.03165 
 563 1 1.12134 1.04438 
 564 1 2.11643 1.0738 
 565 1 1.19604 1.05542 
 566 0 -0.369988 0.98237 
 567 0 -0.822701 0.963232 
 568 1 1.57997 1.08923 
 569 1 2.03181 1.11125 
 570 0 0.891321 1.04483 
 571 1 1.21531 1.04448 
 572 1 1.09292 1.07231 
 573 1 0.998935 1.05209 
 574 1 1.72572 1.09334 
 575 0 0.707748 1.03022 
 576 1 3.53929 1.20899 
 577 0 0.943334 1.04634 
 578 0 -0.256869 0.988274 
 579 0 -0.507521 0.987565 
 580 1 1.28387 1.0686 
 581 1 1.41941 1.11201 
 582 1 0.0747377 1.0038 
 583 0 0.91098 1.04184 
 584 0 0.00523703 1.00029 
 585 0 -1.01924 0.952667 
 586 1 -0.0815048 0.995399 
 587 0 -1.36874 0.926672 
 588 0 -1.61499 0.931151 
 589 0 0.281498 1.01512 
 590 1 0.628423 1.04189 
 591 0 -0.395721 0.98361 
 592 1 1.02378 1.06091 
 593 1 3.36263 1.1777 
 594 1 1.12551 1.07108 
 595 1 2.00406 1.10032 
 596 0 0.0384744 1.00227 
 597 1 1.58136 1.07799 
 598 1 -0.663249 0.974111 
 599 0 1.34652 1.07307 
 600 1 -0.463291 0.97219 
 601 1 2.5134 1.13335 
 602 0 -1.30534 0.932398 
 603 0 -0.832921 0.950703 
 604 0 0.0298879 1.00162 
 605 1 -0.3911 0.981385 
 606 1 0.975818 1.03862 
 607 1 0.715853 1.03063 
 608 1 0.838551 1.05659 
 609 0 0.282561 1.01032 
 610 1 1.3297 1.08061 
 611 0 -0.0913838 0.99634 
 612 1 0.205798 1.012 
 613 0 0.716528 1.03918 
 614 1 0.933595 1.04924 
 615 1 -0.817265 0.959728 
 616 1 -0.2478 0.987534 
 617 0 -0.925262 0.943637 
 618 1 0.901546 1.05264 
 619 0 -1.05554 0.952682 
 620 0 1.45068 1.07593 
 621 1 1.13089 1.08168 
 622 0 0.101751 1.00577 
 623 1 0.995116 1.04511 
 624 0 -0.216411 0.990049 
 625 0 0.418765 1.02598 
 626 1 1.70053 1.10311 
 627 1 0.423793 1.02054 
 628 1 0.909881 1.03816 
 629 0 -1.58204 0.920689 
 630 1 0.193315 1.01207 
 631 1 2.39798 1.09657 
 632 1 1.72708 1.09262 
 633 1 2.8934 1.14863 
 634 1 1.88121 1.09145 
 635 0 -0.22273 0.988128 
 636 0 -0.201695 0.989655 
 637 1 2.11761 1.1299 
 638 0 1.4163 1.08252 
 639 0 -1.09772 0.94547 
 640 1 0.873193 1.04566 
 641 0 0.515838 1.03243 
 642 0 -0.658593 0.969794 
 643 1 2.1325 1.09376 
 644 1 1.36936 1.06096 
 645 1 -1.31147 0.931109 
 646 1 1.06797 1.06305 
 647 1 0.518915 1.02744 
 648 0 2.60481 1.16471 
 649 1 1.92975 1.08503 
 650 1 -0.154137 0.990668 
 651 1 0.857184 1.03889 
 652 1 2.62166 1.17698 
 653 0 0.137195 1.00784 
 654 0 1.1127 1.06078 
 655 1 0.0374867 1.00253 
 656 1 0.071762 1.00453 
 657 1 0.224707 1.01339 
 658 1 0.727576 1.03116 
 659 1 -0.801588 0.949285 
 660 0 -1.37921 0.921548 
 661 0 -0.964599 0.957805 
 662 0 -0.192418 0.993781 
 663 0 0.955295 1.05397 
 664 1 0.0813719 1.00445 
 665 0 0.404723 1.00965 
 666 0 0.468211 1.01243 
 667 1 -2.15105 0.922194 
 668 1 2.08402 1.09136 
 669 0 0.557863 1.02619 
 670 1 0.519909 1.02456 
 671 1 0.966035 1.04284 
 672 1 0.500419 1.01803 
 673 1 0.942651 1.04821 
 674 1 -1.31441 0.937243 
 675 0 -1.98347 0.915162 
 676 1 0.766574 1.03181 
 677 1 1.13051 1.05399 
 678 0 -0.95888 0.950075 
 679 1 2.23375 1.09829 
 680 0 0.919417 1.05428 
 681 1 1.15593 1.05981 
 682 0 1.60573 1.0645 
 683 0 0.0851609 1.00359 
 684 0 0.0708317 1.00274 
 685 0 0.182384 1.01074 
 686 0 -0.886127 0.957482 
 687 1 -0.672389 0.960636 
 688 1 0.57006 1.03051 
 689 1 2.27178 1.09397 
 690 1 1.59192 1.0793 
 691 1 1.3177 1.06556 
 692 1 3.2848 1.13697 
 693 1 2.45211 1.1054 
 694 0 0.552222 1.02394 
 695 0 0.0376748 1.00211 
 696 1 0.92061 1.05383 
 697 0 -0.356713 0.979643 
 698 0 1.01332 1.05967 
 699 0 -1.43413 0.953816 
 700 0 -0.163229 0.991328 
 701 0 -0.0905979 0.99422 
 702 1 1.99989 1.08379 
 703 1 -0.935726 0.939382 
 704 1 0.227477 1.00948 
 705 0 -0.0855448 0.995826 
 706 1 1.57811 1.07588 
 707 0 0.0910297 1.00389 
 708 0 -0.0430279 0.997279 
 709 1 2.07396 1.08426 
 710 1 0.790374 1.03724 
 711 1 0.308973 1.01873 
 712 0 1.38959 1.09703 
 713 1 1.96143 1.08518 
 714 1 2.30282 1.10135 
 715 1 2.05963 1.12242 
 716 0 -0.0684641 0.99677 
 717 1 1.98895 1.12357 
 718 1 1.99036 1.09657 
 719 1 -0.400676 0.986302 
 720 0 0.283254 1.01408 
 721 0 0.821748 1.04451 
 722 0 0.192019 1.01082 
 723 0 -0.902098 0.93387 
 724 0 0.502287 1.02509 
 725 0 0.329027 1.0198 
 726 1 0.739792 1.03662 
 727 0 -1.10601 0.947305 
 728 1 1.7159 1.08194 
 729 1 1.39266 1.07307 
 730 0 -0.614488 0.969321 
 731 0 -1.10495 0.930883 
 732 0 0.0323886 1.00202 
 733 0 1.58116 1.08959 
 734 1 1.43216 1.06027 
 735 1 2.57714 1.18036 
 736 0 0.254594 1.01499 
 737 1 1.8469 1.09364 
 738 0 1.22977 1.06055 
 739 0 0.434767 1.01622 
 740 0 -1.01671 0.949246 
 741 1 1.36082 1.04213 
 742 0 -0.304654 0.983407 
 743 0 -1.17674 0.924739 
 744 0 1.49608 1.08422 
 745 0 0.856578 1.04896 
 746 1 1.19347 1.04515 
 747 1 1.25857 1.07272 
 748 0 1.00841 1.05041 
 749 0 -0.101396 0.995503 
 750 1 1.41094 1.04897 
 751 0 1.2455 1.06522 
 752 0 0.539735 1.02972 
 753 0 -1.36786 0.955818 
 754 0 -0.162312 0.990102 
 755 0 1.25421 1.06158 
 756 0 0.0312042 1.00165 
 757 1 1.56881 1.09775 
 758 0 0.804788 1.04656 
 759 0 1.41573 1.0838 
 760 0 0.351834 1.01895 
 761 0 -0.339489 0.98237 
 762 1 1.70208 1.08735 
 763 0 -0.12063 0.993424 
 764 0 0.183988 1.00577 
 765 1 1.79736 1.09844 
 766 1 0.8649 1.05746 
 767 0 -0.507035 0.983607 
 768 1 1.80067 1.08433 
 769 0 -1.09562 0.951359 
 770 0 0.415815 1.02257 
 771 1 1.49623 1.1059 
 772 0 -1.88546 0.921836 
 773 1 1.62156 1.0679 
 774 0 -0.477077 0.969059 
 775 1 2.73506 1.16052 
 776 1 -0.021617 0.998698 
 777 0 0.274161 1.0155 
 778 0 1.31825 1.07926 
 779 1 1.00429 1.05486 
 780 0 0.535659 1.02473 
 781 0 0.305024 1.00749 
 782 0 -0.543936 0.967756 
 783 0 0.853374 1.04534 
 784 1 1.04945 1.05012 
